ID,知识点,题型,主观题类型,题干（前120字）,正确答案（前80字）,选项数量,难度
149,财务盈亏平衡点,subjective,calculate,某集团公司要进行一项投资期为2年的项目投资。初始投资为60万元，该项目的市场规模一共有70万元，该公司占有10%的市场份额。每件商品的单价为20元，可变成本10元，年固定成本10万元（不包括折旧），公司税率为20%，投资者要求回报率为10%,"（1）OCF=(收入-成本)*（1-t）+折旧*t=54万元
NPV=-60+54/1.1+54/1.12=33.72万元
（2）EAC=60/1.7355=3",0,1257
225,货币互换,subjective,calculate,假设美元和日元的LIBOR的期限结构是平的，在日本是2%而在美国是6%（均为连续复利）某一金融机构在一笔货币互换中每年收入日元，利率为3%(每年计一次复利），同时付出美元，利率为6.5%（每年计一次复利）两种货币的本金分别为1000万美元和,"BD=65e^(-0.06*1)+65e^(-0.06*2)+1065e^(-0.06*3)=1008.427万美元
BF=3600e^(-0.02*1)+36",0,1352
242,货币创造,subjective,calculate,设某商业银行吸收原始存款100亿元，其存款准备率为10％，客户提取现金率为10％，不考虑其他因素，该商业银行能创造多少派生存款?,"D＝R／(r1+r2)＝100／(10％+10％)＝ 100／20％＝500亿元
500-100＝400亿元
该商业银行能创造400亿元的派生存款。
B＝C+R",0,1369
243,货币创造,subjective,calculate,"某国商业银行体系共持有准备金300亿元,公众持有的通货现金数量为100亿元,中央银行对活期存款和非个人定期存款规定的法定准备率分别为15%和10%,据测算,流通中的现金漏损率为25%,商业银行的超额准备率为5%,非个人定期存款比率为50%。","H=R+C=400亿元
存款乘数=1/(rd+e+k+rt*t)=1/(15%+50%*10%+5%+25%)=2
货币乘数=(1+k)/(rd+e+k+rt*",0,1372
166,资产组合理论,subjective,calculate,"假设APT模型中有两个风险因素，下表说明了A、B、C三种股票对两个因素的敏感程度。
假定因素1的预期风险溢价为4%，因素2的预期风险溢价为10%。根据APT回答以下问题：
（1）比较这三种股票的风险溢价。
（2）假设你投资2000元购买A、","（1）Ra=1.8*4%+0.5*10%=12.2%
Rb=-1.0*4%+1.5*10%=11%
Rc=1.5*4%+1.0*10%=16%
（2）投资比例为",0,1298
79,资本成本,subjective,calculate,阿尔法公司目前的资本来源如下：债务资本通过公司债券进行融资，该债券的票面利率为8%，每年付息一次，10年后到期，每张债券面值1000元，当前市价964元，共发行100万张；股权资本通过普通股进行融资，流通在外的普通股共10000万股，每股面,"（1）1000*8%*PVIFA(rb,10)+1000/(1+rb)^10=964\n解得rb=6.5%\nrs=4.5%+1.5×5%=12%\n（2）B/",0,1264
80,资本成本,subjective,calculate,某公司拟筹资1亿元。其中向银行贷款2000万，票面利率8%，筹资费率2%；发行优先股2000万，股利率为10%，筹资费率3%；发行普通股4000万，筹资费率5%，预计第一年股利率为10%，以后每年按5%递增；留存收益为2000万元，第一年末,"债务成本=2000*8%*(1-40%)/2000*(1-2%)=4.90%
优先股成本=D/P=2000*10%/2000*(1-3%)=10.31%
普通股",0,1265
152,资本成本,subjective,calculate,阿尔法公司目前的资本来源如下：债务资本通过公司债券进行融资，该债券的票面利率为8%，每年付息一次，10年后到期，每张债券面值1000元，当前市价964元，共发行100万张；股权资本通过普通股进行融资，流通在外的普通股共10000万股，每股面,"（1）1000*8%*PVIFA(rb,10)+1000/(1+rb)^10=964
解得rb=6.5%
rs=4.5%+1.5×5%=12%
（2）B/V=9",0,1264
63,资本预算,subjective,calculate,某公司正考虑一投资方案，此方案需前期投资1000万，之后每年可增加税后收益160万，目前公司的资本结构负债与权益比例为1:2，债券收益率为6%。该公司股票的贝塔系数为1.2，无风险资产利率为4%，市场平均收益率为12%，公司税率为25%。由,"Rf=4%  Rs=4%+1.2*8%=13.6%
Rwacc=1/3*6%*75%+2/3*13.6%+2%=12.57%
NPV=160/12.57%-10",0,1247
171,跨式期权,subjective,calculate,"假设某公司的普通股几个月来一直在50元/股附近的价格交易，你认为接下来的3个月里，股票价格将继续在此价格附近波动，并假设执行价格为50元的三个月期的put价格为4元。
（1）若无风险利率为10%，而以该公司股票为标的、执行价格为50的三个月","（1）call的价格为：
C=P+S-Ke^(-rt)=4+50-50e^(-0.1*3/12)=5.18美元
（2）由于未来价格波动不确定，可以同时进入一份c",0,1303
178,远期价格,subjective,calculate,"某股票当前价格为10元，三个月后要么上涨为12元，要么下跌为9元，该股票协议价格为10元的欧式看涨期权价格为0.8元。
（1）该股票三个月的风险中性概率是多少？
（2）协议价格为11元的三个月欧式看跌期权的价格是多少？
（3）该股票三个月的","（1）
p=[e^(r*1/4)-0.9]/(1.2-0.9)
2*p*e^(-r*1/4)=0.8
联立得到r=8.98%  P=0.409
（2）
2*0.",0,1310
30,远期利率,subjective,calculate,公司有三种零息债券，剩余期限1年期的到期收益率为10%，剩余期限2年期的到期收益率为11%，剩余期限3年期的到期收益率为12%，求：\n（1）隐含的1年以后的1年远期利率及2年以后1年期远期利率是多少？\n（2）若无偏预期理论证券，市场预期,"（1）(1+r1)(1+f1,2)=(1+r2)^2\nf1,2=12.01%\n(1+r2)^2*(1+f2,3)=(1+r3)^3\nf2,3=14.03%",0,1215
121,远期利率,subjective,calculate,"公司有三种零息债券，剩余期限1年期的到期收益率为10%，剩余期限2年期的到期收益率为11%，剩余期限3年期的到期收益率为12%，求：
（1）隐含的1年以后的1年远期利率及2年以后1年期远期利率是多少？
（2）若无偏预期理论证券，市场预期正确","（1）(1+r1)(1+f1,2)=(1+r2)^2
f1,2=12.01%
(1+r2)^2*(1+f2,3)=(1+r3)^3
f2,3=14.03%
（2",0,1215
98,项目估值,subjective,calculate,W集团公司正在考虑一个2000万的投资项目，其资金来源于权益融资和银行借款，公司的目标负债权益比为1.预计该项目每年将产生息税前收益800万元，且永续。假设银行借款利率为10%，权益资本成本为20%，公司所得税率为25%。试用wacc法评估,"Rwacc=0.5*10%*0.75+0.5*20%=13.75%
NPV=800*(1-25%)/13.75%-2000=2363.64万元

备注：本题为简",0,1287
232,项目估值,subjective,calculate,S公司的销售净利率为3%，资本密集度为1，负债权益比为0.5，股利支付率为0.4，其可持续增长率为多少？如果S公司的可持续增长率达到10%，并计划通过提高销售净利率来实现这个目标，你认为如何？,"Rwacc=0.5*10%*0.75+0.5*20%=13.75%
NPV=800*(1-25%)/13.75%-2000=2363.64万元

备注：背熟财务",0,1359
10,预期假说理论,subjective,calculate,1年期零息债券的到期收益率是7%，2年期零息债券的到期收益率为8%，财政部计划发行2年期的附息债券，息票率为9%，每年支付一次。债券面值为100元。\n（1）该债券的售价将是多少？\n（2）该债券的到期收益率将是多少？\n（3）如果预期假说,（1）P=9/1.07+109/1.082=101.86元\n（2）9/(1+r)+109/(1+r)2\n解得r=7.96%\n（3）令远期利率为f\n则，(,0,1202
108,预期假说理论,subjective,calculate,"1年期零息债券的到期收益率是7%，2年期零息债券的到期收益率为8%，财政部计划发行2年期的附息债券，息票率为9%，每年支付一次。债券面值为100元。
（1）该债券的售价将是多少？
（2）该债券的到期收益率将是多少？
（3）如果预期假说正确的","（1）P=9/1.07+109/1.082=101.86元
（2）9/(1+r)+109/(1+r)2
解得r=7.96%
（3）令远期利率为f
则，(1+7%",0,1202
205,风险管理,subjective,calculate,短期债券收益率一般比长期债券收益率波动性更高。假定你估计出5年期债券收益率每上升15个bp，20年债券收益率上升10个bp。你持有一个价值100万美元的5年期、修正久期4年的资产组合，并且希望通过修正久期9年，售价F0=95美元的国债期货（,"当资产组合收益率上升1.5个bp，国债期货上升1个bp时，
资产组合的损失=1000000*Δy*D*=1000000*0.00015*4=600美元
每100",0,1332
102,马科维茨理论,subjective,calculate,"考虑以下风险资产组合和无风险资产的信息：E(Rp)=11% ,σp=15% ,rf=5%\n（1）如果投资者A要把总投资预算的多大一部分投资于风险资产组合中，才能使总投资预期回报率等于8%？在风险资产组合P上投入的比例是多少？在无风险资产方",（1）5%+y*(11%-5%)=8%\n解得y=0.5\n即一半投入于风险资产，一半投入于无风险资产。\n（2）0.5*15%=7.5%\n\n备注：如果不懂,0,1291
103,马科维茨理论,subjective,calculate,市面上有两只股票，股票A的标准差为30%，股票B的标准差为20%，不允许卖空，若两只股票的相关系数为1，怎样的组合可以使投资组合的风险最小？若相关系数为-1，风险最小的投资组合又应当如何构建？,"当相关系数为1时，将100%投资于B
当相关系数为-1时：
wa=σb/(σa+σb)=40%
wb=σa/(σa+σb)=60%

备注：此类题画图即可。如不",0,1292
164,马科维茨理论,subjective,calculate,"考虑以下风险资产组合和无风险资产的信息：E(Rp)=11% ,σp=15% ,rf=5%
（1）如果投资者A要把总投资预算的多大一部分投资于风险资产组合中，才能使总投资预期回报率等于8%？在风险资产组合P上投入的比例是多少？在无风险资产方面","（1）5%+y*(11%-5%)=8%
解得y=0.5
即一半投入于风险资产，一半投入于无风险资产。
（2）0.5*15%=7.5%

备注：如果不懂第一问的做",0,1291
